url,address,postCode,latitude,longitude,NumBeds,NumBaths,price,buildingStyle,buildingType,buildingDevelopment,buildingExteriorFinish,buildingFirePlace,buildingHeatingType,buildingHeatingFuel,buildingCoolingType,propertyOwnershipType,propertyType,parkingType,numParking
https://www.royallepage.ca/en/property/ontario/toronto/306-833-king-st-w/16190600/mlsc5364573/,"#306 -833 KING ST W, Toronto, Ontario, M5V 1N9",M5V 1N9,0,0,2,1,899900,Apartment,,,Brick,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/882-royal-york-rd/16191141/mlsw5364294/,"882 ROYAL YORK RD, Toronto, Ontario, M8Y 2V6",M8Y 2V6,0,0,2,2,899777,Detached,,,Brick,Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Detached garage,6
https://www.royallepage.ca/en/property/ontario/toronto/101-900-mount-pleasant-rd/16190668/mlsc5364382/,"#101 -900 MOUNT PLEASANT RD, Toronto, Ontario, M4P 3J9",M4P 3J9,0,0,2+1,2,899000,Apartment,,,Brick,,Heat Pump,Electric,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/504-25-earlington-ave/16190931/mlsw5363967/,"#504 -25 EARLINGTON AVE, Toronto, Ontario, M8X 3A3",M8X 3A3,0,0,2+1,2,899000,Apartment,,,Brick,,Forced air,Electric,Central air conditioning,Condominium/Strata,Single Family,Underground,2
https://www.royallepage.ca/en/property/ontario/toronto/1006-138-princess-st/16191552/mlsc5364505/,"#1006 -138 PRINCESS ST, Toronto, Ontario, M5A 0B1",M5A 0B1,0,0,2,2,899000,Apartment,,,"Brick, Concrete",,Heat Pump,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/113-weston-rd/16200445/mlsw5367008/,"113 Weston Rd, Toronto, ON, M6N 5H4",M6N 5H4,0,0,3+1,3,899000,Townhouse,,,,,,,,,,Owned,2
https://www.royallepage.ca/en/property/ontario/toronto/50-636-evans-ave/16190858/mlsw5364075/,"#50 -636 EVANS AVE, Toronto, Ontario, M8W 2W6",M8W 2W6,0,0,3,3,899000,Townhouse,,,"Brick, Stone",,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/31-pondtail-dr/16190617/mlse5364391/,"31 PONDTAIL DR, Toronto, Ontario, M1V 1Z3",M1V 1Z3,0,0,3+1,3,899000,Semi-Detached,,,"Aluminum siding, Brick",,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Attached garage,3
https://www.royallepage.ca/en/property/ontario/toronto/93-northland-ave/16191395/mlsw5364379/,"93 NORTHLAND AVE, Toronto, Ontario, M6N 2E3",M6N 2E3,0,0,3+1,2,888800,Semi-Detached,,,Brick,,Radiant heat,Natural gas,Window air conditioner,Freehold,Single Family,,1
https://www.royallepage.ca/en/property/ontario/toronto/1271-woodbine-ave/16186125/mlse5363897/,"1271 WOODBINE AVE, Toronto, Ontario, M4C 4E5",M4C 4E5,0,0,2+1,1,849000,Detached,,,Vinyl,,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,
https://www.royallepage.ca/en/property/ontario/toronto/1205-8-eglinton-ave-e/16190209/mlsc5364839/,"#1205 -8 EGLINTON AVE E, Toronto, Ontario, M4P 0C1",M4P 0C1,0,0,2,2,848000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/1103-65-southport-st/16191544/mlsw5364994/,"#1103 -65 SOUTHPORT ST, Toronto, Ontario, M6S 3N6",M6S 3N6,0,0,3,2,839900,Apartment,,,Brick,,Hot water radiator heat,Natural gas,Wall unit,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/615-2212-lake-shore-blvd-w/16186107/mlsw5363669/,"#615 -2212 LAKE SHORE BLVD W, Toronto, Ontario, M8V 1A4",M8V 1A4,0,0,2,2,839800,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/60-sophia-dr/16190622/mlse5364514/,"60 SOPHIA DR, Toronto, Ontario, M1H 1Z5",M1H 1Z5,0,0,3+2,2,829900,Detached,,,Brick,,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,3
